Trainn acc .	Test acc .	
 7.0511e+03	 7.0692e+03	
 7.0375e+03	 7.0559e+03	
 7.0239e+03	 7.0423e+03	
 7.0099e+03	 7.0280e+03	
 6.9954e+03	 7.0128e+03	
 6.9798e+03	 6.9965e+03	
 6.9631e+03	 6.9788e+03	
 6.9450e+03	 6.9593e+03	
 6.9252e+03	 6.9379e+03	
 6.9034e+03	 6.9140e+03	
 6.8790e+03	 6.8874e+03	
 6.8518e+03	 6.8576e+03	
 6.8213e+03	 6.8238e+03	
 6.7867e+03	 6.7854e+03	
 6.7474e+03	 6.7414e+03	
 6.7023e+03	 6.6908e+03	
 6.6504e+03	 6.6322e+03	
 6.5904e+03	 6.5642e+03	
 6.5207e+03	 6.4846e+03	
 6.4392e+03	 6.3913e+03	
 6.3437e+03	 6.2816e+03	
 6.2313e+03	 6.1523e+03	
 6.0987e+03	 5.9993e+03	
 5.9418e+03	 5.8182e+03	
 5.7561e+03	 5.6039e+03	
 5.5364e+03	 5.3511e+03	
 5.2772e+03	 5.0550e+03	
 4.9736e+03	 4.7118e+03	
 4.6215e+03	 4.3206e+03	
 4.2205e+03	 3.8855e+03	
 3.7750e+03	 3.4183e+03	
 3.2973e+03	 2.9385e+03	
 2.8080e+03	 2.4724e+03	
 2.3347e+03	 2.0465e+03	
 1.9059e+03	 1.6812e+03	
 1.5426e+03	 1.3846e+03	
 1.2528e+03	 1.1533e+03	
 1.0321e+03	 9.7808e+02	
 8.6969e+02	 8.4833e+02	
 7.5309e+02	 7.5415e+02	
 6.7141e+02	 6.8701e+02	
 6.1538e+02	 6.3970e+02	
 5.7753e+02	 6.0642e+02	
 5.5209e+02	 5.8268e+02	
 5.3476e+02	 5.6535e+02	
 5.2264e+02	 5.5235e+02	
 5.1385e+02	 5.4236e+02	
 5.0720e+02	 5.3440e+02	
 5.0191e+02	 5.2791e+02	
 4.9755e+02	 5.2248e+02	
 4.9385e+02	 5.1786e+02	
 4.9063e+02	 5.1384e+02	
 4.8778e+02	 5.1028e+02	
 4.8520e+02	 5.0712e+02	
 4.8284e+02	 5.0426e+02	
 4.8066e+02	 5.0164e+02	
 4.7863e+02	 4.9923e+02	
 4.7672e+02	 4.9701e+02	
 4.7493e+02	 4.9494e+02	
 4.7322e+02	 4.9300e+02	
 4.7160e+02	 4.9115e+02	
 4.7004e+02	 4.8942e+02	
 4.6855e+02	 4.8777e+02	
 4.6712e+02	 4.8619e+02	
 4.6573e+02	 4.8466e+02	
 4.6438e+02	 4.8320e+02	
 4.6306e+02	 4.8178e+02	
 4.6177e+02	 4.8041e+02	
 4.6053e+02	 4.7908e+02	
 4.5930e+02	 4.7779e+02	
 4.5810e+02	 4.7653e+02	
 4.5692e+02	 4.7529e+02	
 4.5575e+02	 4.7409e+02	
 4.5461e+02	 4.7290e+02	
 4.5348e+02	 4.7173e+02	
 4.5236e+02	 4.7059e+02	
 4.5126e+02	 4.6948e+02	
 4.5017e+02	 4.6838e+02	
 4.4911e+02	 4.6731e+02	
 4.4806e+02	 4.6624e+02	
 4.4702e+02	 4.6520e+02	
 4.4599e+02	 4.6417e+02	
 4.4497e+02	 4.6316e+02	
 4.4397e+02	 4.6216e+02	
 4.4297e+02	 4.6118e+02	
 4.4199e+02	 4.6021e+02	
 4.4103e+02	 4.5926e+02	
 4.4007e+02	 4.5831e+02	
 4.3913e+02	 4.5737e+02	
 4.3818e+02	 4.5644e+02	
 4.3724e+02	 4.5552e+02	
 4.3632e+02	 4.5462e+02	
 4.3540e+02	 4.5372e+02	
 4.3449e+02	 4.5284e+02	
 4.3359e+02	 4.5197e+02	
 4.3270e+02	 4.5111e+02	
 4.3182e+02	 4.5026e+02	
 4.3095e+02	 4.4942e+02	
